Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
India,2021,Man-in-the-Middle,IT,53.49,582718.0,Hacker Group,Social Engineering,Encryption,20.0
Japan,2021,Man-in-the-Middle,Telecommunications,18.91,549640.0,Nation-state,Social Engineering,Encryption,17.0
USA,2024,DDoS,Retail,15.34,1068.0,Insider,Social Engineering,Firewall,3.0
France,2018,DDoS,Telecommunications,12.72,959835.0,Unknown,Zero-day,Firewall,38.0
USA,2024,Ransomware,Retail,46.59,227390.0,Insider,Weak Passwords,AI-based Detection,40.0
France,2021,SQL Injection,Banking,62.9,577763.0,Insider,Zero-day,AI-based Detection,43.0
Japan,2018,SQL Injection,Healthcare,85.33,786644.0,Nation-state,Unpatched Software,Antivirus,41.0
China,2016,Malware,Healthcare,85.15,454802.0,Insider,Unpatched Software,Antivirus,48.0
China,2024,DDoS,Healthcare,53.53,371685.0,Unknown,Social Engineering,VPN,34.0
India,2023,Ransomware,Retail,4.32,217534.0,Unknown,Unpatched Software,VPN,48.0
Australia,2024,Man-in-the-Middle,Telecommunications,31.68,376612.0,Nation-state,Unpatched Software,VPN,27.0
UK,2020,Phishing,Banking,84.77,812206.0,Hacker Group,Unpatched Software,Encryption,39.0
Australia,2021,Man-in-the-Middle,Banking,82.87,255967.0,Unknown,Social Engineering,VPN,23.0
USA,2023,DDoS,Healthcare,5.32,463332.0,Unknown,Weak Passwords,Encryption,16.0
Australia,2023,DDoS,IT,31.48,771547.0,Hacker Group,Zero-day,Antivirus,5.0
UK,2020,DDoS,Retail,86.0,809209.0,Unknown,Social Engineering,Encryption,26.0
India,2024,DDoS,Retail,35.47,342575.0,Insider,Social Engineering,Firewall,49.0
Japan,2024,Phishing,Retail,94.75,478963.0,Insider,Zero-day,VPN,70.0
USA,2017,SQL Injection,Banking,39.59,910393.0,Unknown,Weak Passwords,Antivirus,52.0
Australia,2024,Phishing,Banking,70.52,601198.0,Insider,Zero-day,Encryption,41.0
UK,2018,Ransomware,Government,6.6,152302.0,Hacker Group,Social Engineering,AI-based Detection,26.0
USA,2016,SQL Injection,Healthcare,25.85,79102.0,Nation-state,Zero-day,AI-based Detection,4.0
India,2017,Ransomware,Retail,80.93,837506.0,Nation-state,Zero-day,Antivirus,8.0
Germany,2018,Malware,Banking,63.81,347441.0,Hacker Group,Social Engineering,Firewall,58.0
USA,2021,Ransomware,Telecommunications,3.63,231198.0,Insider,Unpatched Software,Encryption,42.0
Brazil,2016,DDoS,Government,80.09,555275.0,Unknown,Social Engineering,Antivirus,71.0
UK,2016,SQL Injection,Retail,24.51,46699.0,Unknown,Zero-day,Antivirus,53.0
UK,2024,Man-in-the-Middle,IT,56.23,706469.0,Unknown,Unpatched Software,Encryption,17.0
China,2018,Ransomware,IT,43.73,311165.0,Unknown,Social Engineering,AI-based Detection,34.0
France,2100,SQL Injection,Government,85.13,304257.0,Nation-state,Weak Passwords,Antivirus,20.0
Brazil,2017,SQL Injection,Telecommunications,24.05,446378.0,Insider,Unpatched Software,Antivirus,59.0
China,2021,Ransomware,Healthcare,32.72,994243.0,Hacker Group,Social Engineering,Firewall,54.0
UK,2015,Phishing,Healthcare,81.75,98634.0,Unknown,Social Engineering,VPN,5.0
USA,2018,Phishing,Telecommunications,42.46,93999.0,Nation-state,Social Engineering,Encryption,65.0
France,2017,SQL Injection,Education,14.54,171095.0,Hacker Group,Zero-day,AI-based Detection,63.0
USA,2015,Man-in-the-Middle,IT,38.92,820182.0,Nation-state,Weak Passwords,Antivirus,16.0
Germany,2018,SQL Injection,Telecommunications,4.2,164890.0,Insider,Weak Passwords,Encryption,61.0
China,2015,SQL Injection,Telecommunications,75.91,605020.0,Insider,Unpatched Software,Antivirus,43.0
Australia,2024,Ransomware,Education,44.95,500747.0,Insider,Unpatched Software,AI-based Detection,58.0
Japan,2020,Man-in-the-Middle,IT,35.79,854904.0,Insider,Weak Passwords,Firewall,12.0
China,2020,SQL Injection,Healthcare,62.44,55719.0,Unknown,Unpatched Software,Firewall,71.0
Brazil,2015,Phishing,Retail,19.93,355008.0,Hacker Group,Unpatched Software,Antivirus,31.0
UK,2100,Phishing,IT,75.31,428615.0,Unknown,Social Engineering,AI-based Detection,66.0
Australia,2015,Phishing,Healthcare,76.4,108767.0,Nation-state,Unpatched Software,VPN,48.0
India,2020,Man-in-the-Middle,IT,28.69,939469.0,Insider,Unpatched Software,Encryption,45.0
UK,2100,Man-in-the-Middle,Government,23.93,325827.0,Nation-state,Zero-day,Antivirus,39.0
UK,2017,Man-in-the-Middle,Education,30.44,996762.0,Hacker Group,Social Engineering,AI-based Detection,27.0
Japan,2017,Phishing,IT,5.14,319868.0,Hacker Group,Unpatched Software,VPN,52.0
Brazil,2018,Man-in-the-Middle,Banking,1.01,66191.0,Hacker Group,Weak Passwords,AI-based Detection,71.0
India,2023,Ransomware,IT,18.53,925373.0,Insider,Zero-day,AI-based Detection,4.0
India,2015,Malware,Telecommunications,1.52,913114.0,Insider,Unpatched Software,VPN,15.0
Australia,2100,DDoS,Healthcare,84.89,163975.0,Nation-state,Unpatched Software,Firewall,22.0
USA,2016,DDoS,Education,66.73,876135.0,Insider,Unpatched Software,AI-based Detection,67.0
China,2024,Ransomware,Government,72.61,595380.0,Hacker Group,Zero-day,VPN,10.0
France,2020,DDoS,Government,44.16,840796.0,Nation-state,Weak Passwords,AI-based Detection,5.0
UK,2022,DDoS,Telecommunications,80.05,484908.0,Unknown,Weak Passwords,Firewall,42.0
Russia,2018,SQL Injection,Telecommunications,13.69,146100.0,Unknown,Social Engineering,Encryption,22.0
USA,2021,Phishing,IT,29.02,555756.0,Insider,Zero-day,AI-based Detection,21.0
India,2017,Ransomware,Retail,69.91,340928.0,Unknown,Social Engineering,Antivirus,61.0
UK,2016,Malware,Telecommunications,3.76,678640.0,Insider,Zero-day,Encryption,44.0
Brazil,2020,Phishing,IT,57.43,212798.0,Insider,Social Engineering,Antivirus,31.0
UK,2100,Ransomware,Retail,63.45,354024.0,Unknown,Weak Passwords,AI-based Detection,33.0
UK,2016,Man-in-the-Middle,Government,41.34,189354.0,Insider,Zero-day,Firewall,39.0
Australia,2022,Phishing,Education,22.73,648363.0,Unknown,Zero-day,VPN,47.0
Brazil,2017,DDoS,IT,5.88,231114.0,Insider,Weak Passwords,AI-based Detection,37.0
India,2017,Ransomware,Banking,9.81,489620.0,Unknown,Unpatched Software,VPN,43.0
USA,2015,DDoS,IT,94.14,854005.0,Unknown,Zero-day,AI-based Detection,14.0
Germany,2017,Ransomware,IT,33.24,550719.0,Hacker Group,Zero-day,AI-based Detection,60.0
Germany,2100,Man-in-the-Middle,Government,75.37,445254.0,Hacker Group,Unpatched Software,VPN,42.0
Japan,2020,Phishing,Education,49.17,218097.0,Unknown,Zero-day,VPN,32.0
Germany,2017,Malware,Telecommunications,94.87,324790.0,Insider,Zero-day,VPN,42.0
India,2023,SQL Injection,Government,28.71,497965.0,Unknown,Unpatched Software,VPN,25.0
Australia,2023,SQL Injection,Education,42.5,933030.0,Insider,Social Engineering,Antivirus,27.0
UK,2015,Man-in-the-Middle,IT,53.07,538338.0,Nation-state,Zero-day,VPN,1.0
France,2018,Phishing,Retail,99.78,860459.0,Hacker Group,Social Engineering,AI-based Detection,11.0
UK,2024,DDoS,Healthcare,82.87,276634.0,Unknown,Unpatched Software,Antivirus,38.0
Germany,2018,Man-in-the-Middle,Banking,81.46,316299.0,Insider,Social Engineering,Firewall,66.0
Japan,2023,Ransomware,Healthcare,33.66,410385.0,Unknown,Zero-day,Encryption,71.0
Japan,2024,DDoS,Healthcare,99.28,589898.0,Unknown,Weak Passwords,VPN,59.0
France,2016,Man-in-the-Middle,Retail,14.86,63760.0,Hacker Group,Weak Passwords,VPN,8.0
USA,2015,Ransomware,Banking,33.75,58037.0,Insider,Social Engineering,VPN,13.0
UK,2017,SQL Injection,Government,82.03,994787.0,Nation-state,Unpatched Software,Encryption,56.0
India,2016,Ransomware,Retail,9.53,89719.0,Unknown,Zero-day,Firewall,68.0
Germany,2023,SQL Injection,Telecommunications,6.09,590760.0,Unknown,Unpatched Software,Firewall,32.0
UK,2022,DDoS,IT,29.05,186700.0,Insider,Weak Passwords,Antivirus,37.0
Japan,2100,SQL Injection,Education,89.48,682430.0,Hacker Group,Zero-day,VPN,5.0
Australia,2018,SQL Injection,Education,75.2,60868.0,Insider,Social Engineering,Antivirus,46.0
France,2016,SQL Injection,Government,29.33,182916.0,Nation-state,Unpatched Software,Antivirus,17.0
France,2023,DDoS,Education,65.96,181879.0,Insider,Weak Passwords,Antivirus,64.0
Australia,2017,Phishing,Retail,95.2,715732.0,Unknown,Weak Passwords,Antivirus,11.0
UK,2023,Malware,Banking,16.02,452477.0,Hacker Group,Zero-day,Encryption,23.0
India,2018,Ransomware,Banking,11.19,168881.0,Insider,Social Engineering,AI-based Detection,5.0
France,2017,SQL Injection,Healthcare,27.42,94235.0,Insider,Social Engineering,Antivirus,29.0
Australia,2015,Ransomware,Telecommunications,17.38,75314.0,Unknown,Unpatched Software,Encryption,6.0
Russia,2100,Man-in-the-Middle,Retail,99.53,515797.0,Nation-state,Social Engineering,Firewall,46.0
Russia,2024,DDoS,Telecommunications,55.05,363906.0,Insider,Weak Passwords,Antivirus,31.0
UK,2022,DDoS,Education,79.6,446296.0,Unknown,Zero-day,AI-based Detection,4.0
Russia,2017,Ransomware,Telecommunications,65.18,329972.0,Nation-state,Unpatched Software,Firewall,48.0
China,2017,Ransomware,Education,25.73,639190.0,Insider,Social Engineering,Encryption,33.0
USA,2022,Ransomware,Government,33.71,135105.0,Unknown,Unpatched Software,VPN,48.0
China,2015,DDoS,Education,94.74,103079.0,Nation-state,Social Engineering,Antivirus,57.0
France,2018,DDoS,IT,75.88,822364.0,Unknown,Zero-day,VPN,71.0
India,2021,SQL Injection,Government,75.25,597509.0,Nation-state,Social Engineering,Firewall,20.0
Brazil,2023,Man-in-the-Middle,Telecommunications,90.37,705678.0,Hacker Group,Zero-day,Antivirus,57.0
France,2020,Phishing,Retail,14.45,309967.0,Unknown,Zero-day,Firewall,26.0
France,2022,Ransomware,Banking,54.47,604250.0,Unknown,Social Engineering,AI-based Detection,63.0
India,2024,Ransomware,IT,33.66,131900.0,Unknown,Unpatched Software,Antivirus,21.0
Australia,2022,Ransomware,Government,84.51,305494.0,Insider,Social Engineering,Firewall,19.0
Brazil,2023,Malware,Healthcare,61.56,907121.0,Unknown,Social Engineering,VPN,33.0
India,2024,Phishing,Banking,23.32,879162.0,Unknown,Zero-day,VPN,38.0
Brazil,2017,Man-in-the-Middle,Telecommunications,43.71,57237.0,Unknown,Unpatched Software,Firewall,52.0
Australia,2016,Phishing,Telecommunications,2.84,880127.0,Insider,Social Engineering,Antivirus,67.0
China,2017,Phishing,IT,71.4,698847.0,Insider,Zero-day,AI-based Detection,17.0
India,2022,Man-in-the-Middle,Banking,90.87,928859.0,Unknown,Unpatched Software,Firewall,32.0
India,2017,SQL Injection,IT,78.94,858565.0,Unknown,Weak Passwords,Encryption,29.0
China,2022,Malware,Telecommunications,34.33,571265.0,Unknown,Unpatched Software,Firewall,17.0
Russia,2015,DDoS,Banking,40.64,259321.0,Nation-state,Social Engineering,AI-based Detection,62.0
Brazil,2022,Man-in-the-Middle,Banking,59.43,121504.0,Insider,Weak Passwords,AI-based Detection,32.0
France,2018,DDoS,Banking,50.75,670630.0,Nation-state,Zero-day,Antivirus,4.0
China,2024,Ransomware,Banking,72.18,277175.0,Insider,Social Engineering,Firewall,72.0
USA,2016,Man-in-the-Middle,Retail,23.35,952463.0,Nation-state,Unpatched Software,Antivirus,26.0
UK,2020,DDoS,Government,78.32,624619.0,Unknown,Weak Passwords,AI-based Detection,67.0
China,2018,Phishing,Healthcare,20.22,363934.0,Insider,Weak Passwords,Firewall,24.0
Japan,2017,SQL Injection,IT,33.15,44750.0,Unknown,Unpatched Software,Firewall,22.0
UK,2021,DDoS,Banking,8.82,736601.0,Nation-state,Zero-day,AI-based Detection,26.0
Japan,2018,Ransomware,Education,43.32,42876.0,Unknown,Unpatched Software,Antivirus,40.0
Australia,2018,DDoS,Healthcare,90.4,536357.0,Nation-state,Weak Passwords,Encryption,55.0
USA,2017,Phishing,Government,55.34,785099.0,Insider,Social Engineering,Encryption,29.0
France,2100,DDoS,Healthcare,27.89,460544.0,Unknown,Weak Passwords,Firewall,29.0
France,2020,Ransomware,Education,66.04,881755.0,Unknown,Zero-day,Firewall,10.0
India,2024,SQL Injection,Telecommunications,10.24,213393.0,Unknown,Social Engineering,Encryption,49.0
UK,2017,Man-in-the-Middle,Telecommunications,43.82,213979.0,Hacker Group,Unpatched Software,Firewall,10.0
UK,2021,Malware,Telecommunications,3.17,570243.0,Insider,Unpatched Software,Antivirus,51.0
Brazil,2016,Malware,Government,72.73,47624.0,Nation-state,Weak Passwords,Firewall,70.0
China,2024,Man-in-the-Middle,Banking,16.09,72940.0,Nation-state,Zero-day,VPN,26.0
Japan,2020,Malware,Telecommunications,98.14,710142.0,Insider,Zero-day,AI-based Detection,56.0
Japan,2023,Malware,Retail,51.91,360524.0,Hacker Group,Unpatched Software,Firewall,47.0
France,2017,Phishing,IT,55.9,309259.0,Insider,Zero-day,AI-based Detection,3.0
UK,2024,Phishing,Government,30.68,393201.0,Nation-state,Social Engineering,Firewall,3.0
Germany,2020,Ransomware,IT,65.2,306799.0,Unknown,Zero-day,Encryption,61.0
Russia,2022,Malware,Healthcare,81.92,30180.0,Insider,Weak Passwords,AI-based Detection,53.0
India,2017,Phishing,Retail,97.87,113745.0,Unknown,Unpatched Software,Encryption,2.0
Japan,2024,Ransomware,Banking,24.22,584428.0,Nation-state,Weak Passwords,Firewall,34.0
France,2020,Ransomware,Healthcare,3.27,178268.0,Nation-state,Unpatched Software,Antivirus,2.0
China,2022,Phishing,Retail,33.69,338578.0,Unknown,Social Engineering,AI-based Detection,38.0
China,2024,DDoS,Healthcare,7.31,972407.0,Hacker Group,Zero-day,Encryption,51.0
Brazil,2022,Ransomware,Banking,15.66,817169.0,Insider,Unpatched Software,Firewall,54.0
Australia,2015,Malware,Healthcare,62.34,796100.0,Hacker Group,Social Engineering,AI-based Detection,20.0
UK,2016,Man-in-the-Middle,Banking,76.06,530253.0,Unknown,Weak Passwords,Encryption,28.0
Australia,2024,Man-in-the-Middle,Government,50.36,165496.0,Nation-state,Weak Passwords,Encryption,72.0
Russia,2021,Ransomware,Banking,34.92,501490.0,Insider,Social Engineering,Firewall,44.0
India,2016,Malware,Banking,11.81,392365.0,Insider,Social Engineering,Antivirus,72.0
China,2022,Malware,Education,96.72,194617.0,Insider,Social Engineering,Antivirus,31.0
Japan,2022,Man-in-the-Middle,Retail,44.34,516125.0,Unknown,Zero-day,Firewall,67.0
Australia,2021,Man-in-the-Middle,Telecommunications,67.72,393335.0,Hacker Group,Social Engineering,Antivirus,31.0
UK,2018,SQL Injection,Government,34.09,197436.0,Unknown,Zero-day,Antivirus,10.0
France,2022,DDoS,Education,31.51,452360.0,Nation-state,Zero-day,Antivirus,65.0
Australia,2018,DDoS,Healthcare,20.39,913090.0,Unknown,Zero-day,VPN,2.0
Germany,2018,SQL Injection,Telecommunications,38.65,368222.0,Insider,Zero-day,VPN,56.0
India,2022,SQL Injection,Healthcare,77.3,826937.0,Unknown,Zero-day,AI-based Detection,64.0
Brazil,2015,Ransomware,Retail,89.93,673959.0,Hacker Group,Zero-day,Firewall,39.0
UK,2022,Ransomware,Education,4.29,383246.0,Nation-state,Unpatched Software,VPN,45.0
UK,2100,Man-in-the-Middle,Banking,76.03,422890.0,Insider,Social Engineering,VPN,4.0
Australia,2020,Malware,Banking,42.3,497035.0,Hacker Group,Zero-day,AI-based Detection,66.0
Brazil,2023,Phishing,Government,72.57,720220.0,Unknown,Weak Passwords,Firewall,71.0
Russia,2100,Phishing,Government,93.7,808318.0,Nation-state,Social Engineering,Antivirus,57.0
Germany,2022,SQL Injection,IT,68.63,294981.0,Unknown,Zero-day,AI-based Detection,3.0
USA,2017,Phishing,Healthcare,52.7,281182.0,Nation-state,Zero-day,Encryption,27.0
Australia,2017,Ransomware,Education,66.56,95750.0,Nation-state,Zero-day,Antivirus,44.0
Brazil,2015,Ransomware,Retail,91.03,879260.0,Hacker Group,Social Engineering,Antivirus,16.0
Russia,2017,Man-in-the-Middle,IT,14.74,561615.0,Hacker Group,Weak Passwords,Antivirus,29.0
Brazil,2016,SQL Injection,Retail,40.29,206598.0,Unknown,Zero-day,Encryption,45.0
Brazil,2017,Man-in-the-Middle,IT,56.83,171305.0,Unknown,Unpatched Software,Firewall,54.0
Russia,2024,SQL Injection,Government,63.45,492909.0,Unknown,Zero-day,AI-based Detection,42.0
UK,2021,Man-in-the-Middle,IT,72.57,477493.0,Hacker Group,Unpatched Software,Encryption,16.0
Japan,2021,Phishing,Government,22.94,622723.0,Nation-state,Weak Passwords,AI-based Detection,67.0
Australia,2016,Malware,Healthcare,80.22,124155.0,Nation-state,Weak Passwords,Encryption,40.0
China,2024,Malware,Retail,34.49,897277.0,Unknown,Zero-day,VPN,55.0
USA,2017,SQL Injection,Healthcare,51.26,28682.0,Hacker Group,Zero-day,VPN,44.0
Japan,2020,Phishing,Banking,73.04,512431.0,Nation-state,Unpatched Software,VPN,44.0
Australia,2018,SQL Injection,IT,19.14,171977.0,Unknown,Zero-day,Antivirus,44.0
UK,2015,SQL Injection,Telecommunications,38.72,943070.0,Hacker Group,Zero-day,VPN,36.0
Japan,2021,DDoS,Education,14.88,887855.0,Nation-state,Zero-day,AI-based Detection,7.0
USA,2018,Ransomware,Retail,54.05,535110.0,Nation-state,Zero-day,Antivirus,2.0
USA,2021,Man-in-the-Middle,Telecommunications,42.29,817386.0,Nation-state,Zero-day,Firewall,8.0
India,2018,Phishing,Banking,96.59,206552.0,Nation-state,Weak Passwords,Encryption,13.0
Brazil,2020,Man-in-the-Middle,Education,71.35,154966.0,Hacker Group,Zero-day,Antivirus,19.0
France,2016,Phishing,Banking,54.5,511287.0,Unknown,Unpatched Software,Antivirus,34.0
Germany,2023,SQL Injection,Banking,94.48,426499.0,Unknown,Unpatched Software,VPN,37.0
UK,2016,Man-in-the-Middle,Telecommunications,73.63,15907.0,Hacker Group,Social Engineering,Antivirus,36.0
UK,2022,Phishing,Education,36.15,375734.0,Nation-state,Weak Passwords,AI-based Detection,31.0
Brazil,2023,Malware,Government,19.18,993826.0,Unknown,Zero-day,Firewall,7.0
India,2023,Ransomware,Banking,83.18,397813.0,Nation-state,Social Engineering,Antivirus,12.0
France,2024,Ransomware,Banking,70.98,185001.0,Insider,Zero-day,VPN,3.0
Japan,2024,DDoS,IT,7.99,805548.0,Insider,Unpatched Software,Antivirus,10.0
Brazil,2015,SQL Injection,Retail,74.74,562552.0,Nation-state,Unpatched Software,Encryption,37.0
Brazil,2018,Malware,Education,33.12,724513.0,Nation-state,Zero-day,VPN,46.0
UK,2024,SQL Injection,Telecommunications,54.1,715395.0,Unknown,Social Engineering,VPN,60.0
France,2020,Ransomware,Telecommunications,75.13,177097.0,Unknown,Unpatched Software,Encryption,15.0
Australia,2020,Man-in-the-Middle,Banking,56.34,407084.0,Unknown,Unpatched Software,Firewall,11.0
UK,2023,Phishing,Healthcare,23.66,889641.0,Hacker Group,Social Engineering,AI-based Detection,50.0
USA,2100,SQL Injection,IT,17.81,378105.0,Unknown,Weak Passwords,Encryption,4.0
Germany,2020,SQL Injection,Education,43.96,597987.0,Hacker Group,Weak Passwords,Encryption,50.0
USA,2018,Malware,Education,77.07,10600.0,Insider,Social Engineering,Firewall,47.0
France,2016,SQL Injection,Healthcare,10.82,586784.0,Hacker Group,Weak Passwords,Encryption,26.0
India,2023,SQL Injection,Banking,48.53,421083.0,Insider,Unpatched Software,AI-based Detection,28.0
Australia,2023,Ransomware,Education,94.86,127127.0,Unknown,Social Engineering,Encryption,47.0
China,2016,Malware,Government,15.92,668188.0,Insider,Unpatched Software,AI-based Detection,38.0
Japan,2018,SQL Injection,Education,11.28,433618.0,Hacker Group,Social Engineering,Antivirus,59.0
Germany,2023,Malware,Telecommunications,3.86,51176.0,Unknown,Social Engineering,Encryption,61.0
Germany,2016,SQL Injection,IT,34.35,918452.0,Unknown,Weak Passwords,AI-based Detection,16.0
Germany,2023,Ransomware,Healthcare,84.92,152814.0,Nation-state,Social Engineering,AI-based Detection,33.0
USA,2017,Man-in-the-Middle,Retail,74.57,502149.0,Hacker Group,Weak Passwords,AI-based Detection,29.0
USA,2100,Ransomware,Healthcare,89.81,46960.0,Nation-state,Zero-day,AI-based Detection,16.0
Brazil,2017,SQL Injection,Government,40.66,651335.0,Insider,Weak Passwords,Encryption,21.0
Brazil,2018,DDoS,Telecommunications,69.83,587034.0,Hacker Group,Weak Passwords,AI-based Detection,35.0
France,2015,Man-in-the-Middle,Healthcare,79.58,856278.0,Hacker Group,Zero-day,Firewall,71.0
China,2022,DDoS,Banking,79.07,880586.0,Hacker Group,Unpatched Software,VPN,56.0
USA,2100,DDoS,Government,81.56,78873.0,Hacker Group,Weak Passwords,Encryption,27.0
Australia,2017,DDoS,Banking,62.81,810106.0,Hacker Group,Weak Passwords,Encryption,66.0
Germany,2021,DDoS,Government,28.71,937384.0,Hacker Group,Unpatched Software,Encryption,67.0
Japan,2023,Man-in-the-Middle,Retail,36.68,231307.0,Unknown,Zero-day,Encryption,4.0
China,2016,DDoS,IT,71.75,816710.0,Hacker Group,Weak Passwords,VPN,60.0
USA,2100,Man-in-the-Middle,Telecommunications,17.21,896828.0,Unknown,Weak Passwords,Firewall,33.0
UK,2016,DDoS,Telecommunications,48.47,937466.0,Hacker Group,Social Engineering,AI-based Detection,28.0
China,2020,DDoS,Banking,11.72,81518.0,Nation-state,Social Engineering,VPN,47.0
Brazil,2015,Malware,IT,1.35,371048.0,Hacker Group,Zero-day,VPN,56.0
USA,2100,Phishing,IT,20.13,25946.0,Hacker Group,Weak Passwords,AI-based Detection,68.0
France,2017,Man-in-the-Middle,Education,14.99,942088.0,Insider,Zero-day,AI-based Detection,46.0
Japan,2015,Malware,Telecommunications,28.8,915532.0,Insider,Zero-day,Encryption,68.0
USA,2018,SQL Injection,Government,99.49,755576.0,Insider,Weak Passwords,AI-based Detection,23.0
Brazil,2018,Malware,Education,6.3,661644.0,Insider,Social Engineering,AI-based Detection,29.0
UK,2100,DDoS,Telecommunications,95.75,168951.0,Insider,Social Engineering,VPN,13.0
Russia,2022,Man-in-the-Middle,IT,49.87,816398.0,Insider,Social Engineering,Encryption,39.0
India,2017,DDoS,Education,83.49,79933.0,Hacker Group,Zero-day,AI-based Detection,23.0
USA,2100,Malware,Government,83.84,506149.0,Nation-state,Social Engineering,Encryption,35.0
Japan,2021,Phishing,Retail,81.26,245015.0,Nation-state,Zero-day,Firewall,41.0
Japan,2017,SQL Injection,Banking,66.81,966993.0,Hacker Group,Social Engineering,VPN,64.0
Australia,2016,Malware,Education,88.87,235062.0,Nation-state,Weak Passwords,Firewall,32.0
Brazil,2022,Phishing,Healthcare,75.08,132520.0,Unknown,Zero-day,Antivirus,56.0
Germany,2016,SQL Injection,Retail,56.57,869605.0,Unknown,Social Engineering,VPN,51.0
USA,2017,Phishing,Banking,96.27,637264.0,Hacker Group,Unpatched Software,AI-based Detection,11.0
Russia,2021,DDoS,Banking,45.6,759356.0,Insider,Social Engineering,VPN,1.0
Brazil,2021,DDoS,Education,69.37,666096.0,Hacker Group,Zero-day,Encryption,9.0
India,2021,SQL Injection,Telecommunications,68.91,851981.0,Nation-state,Zero-day,AI-based Detection,57.0
Australia,2024,Phishing,Banking,14.97,214740.0,Nation-state,Unpatched Software,Encryption,57.0
Brazil,2016,Phishing,Government,35.94,372653.0,Hacker Group,Weak Passwords,VPN,60.0
India,2024,Phishing,Banking,64.23,903871.0,Nation-state,Unpatched Software,Encryption,17.0
India,2015,Malware,Education,64.29,924049.0,Nation-state,Social Engineering,VPN,5.0
Australia,2020,Malware,Government,98.05,193983.0,Nation-state,Zero-day,Antivirus,31.0
Russia,2021,Ransomware,Telecommunications,11.04,904330.0,Nation-state,Weak Passwords,VPN,49.0
India,2018,SQL Injection,Education,52.05,874254.0,Nation-state,Zero-day,Antivirus,11.0
Germany,2020,Man-in-the-Middle,Healthcare,28.81,691190.0,Nation-state,Unpatched Software,Firewall,27.0
China,2024,DDoS,IT,61.42,412245.0,Nation-state,Social Engineering,Encryption,48.0
France,2021,Man-in-the-Middle,Healthcare,53.77,302180.0,Insider,Weak Passwords,AI-based Detection,11.0
USA,2016,Ransomware,Government,8.21,537592.0,Nation-state,Social Engineering,Antivirus,11.0
Brazil,2022,SQL Injection,Retail,25.85,632061.0,Nation-state,Zero-day,Antivirus,2.0
Brazil,2015,DDoS,Retail,67.52,224815.0,Nation-state,Social Engineering,Firewall,32.0
India,2022,DDoS,IT,23.91,169310.0,Unknown,Weak Passwords,Encryption,36.0
Japan,2023,Man-in-the-Middle,Telecommunications,86.98,635827.0,Nation-state,Social Engineering,Encryption,72.0
UK,2022,Ransomware,IT,63.67,560021.0,Unknown,Zero-day,Encryption,43.0
Japan,2021,Man-in-the-Middle,Government,61.03,768506.0,Nation-state,Zero-day,AI-based Detection,11.0
Australia,2018,Phishing,Healthcare,39.94,755469.0,Hacker Group,Social Engineering,Antivirus,58.0
India,2022,Ransomware,Retail,74.05,205336.0,Hacker Group,Social Engineering,AI-based Detection,2.0
France,2020,DDoS,IT,7.52,957779.0,Nation-state,Social Engineering,Encryption,17.0
UK,2017,Malware,Education,29.47,85644.0,Hacker Group,Social Engineering,AI-based Detection,3.0
France,2100,Man-in-the-Middle,Telecommunications,75.99,561713.0,Insider,Unpatched Software,Firewall,31.0
Germany,2017,Phishing,Healthcare,53.57,287762.0,Insider,Weak Passwords,Encryption,13.0
India,2015,Phishing,Healthcare,76.08,471550.0,Unknown,Zero-day,VPN,5.0
Japan,2018,SQL Injection,IT,69.19,33209.0,Insider,Unpatched Software,AI-based Detection,66.0
China,2017,Phishing,Retail,45.83,395251.0,Unknown,Unpatched Software,Encryption,33.0
Germany,2100,DDoS,IT,14.77,491791.0,Hacker Group,Zero-day,Encryption,66.0
Australia,2016,Phishing,Healthcare,53.81,279874.0,Hacker Group,Unpatched Software,AI-based Detection,66.0
France,2100,Malware,IT,71.94,881326.0,Insider,Unpatched Software,Firewall,43.0
UK,2023,DDoS,IT,68.86,749700.0,Nation-state,Zero-day,AI-based Detection,35.0
UK,2022,Phishing,Government,97.56,722445.0,Nation-state,Weak Passwords,Firewall,10.0
USA,2023,Ransomware,Government,84.13,695841.0,Nation-state,Zero-day,AI-based Detection,21.0
USA,2020,SQL Injection,Government,40.95,803757.0,Hacker Group,Social Engineering,Firewall,33.0
Japan,2022,DDoS,IT,20.16,174510.0,Insider,Zero-day,AI-based Detection,60.0
Germany,2022,SQL Injection,Retail,11.51,857660.0,Hacker Group,Zero-day,VPN,37.0
UK,2020,SQL Injection,Banking,47.67,729265.0,Unknown,Zero-day,Firewall,42.0
India,2023,Phishing,Retail,38.89,836604.0,Hacker Group,Unpatched Software,AI-based Detection,44.0
China,2016,Malware,Government,91.69,885843.0,Insider,Unpatched Software,AI-based Detection,46.0
France,2015,Man-in-the-Middle,Education,17.94,808798.0,Unknown,Social Engineering,Encryption,60.0
Russia,2018,Man-in-the-Middle,Telecommunications,30.5,401208.0,Hacker Group,Unpatched Software,VPN,10.0
Japan,2021,Ransomware,Healthcare,77.33,380970.0,Nation-state,Weak Passwords,Encryption,44.0
USA,2021,Phishing,Healthcare,70.03,248437.0,Hacker Group,Social Engineering,Encryption,70.0
Australia,2024,SQL Injection,Retail,66.49,709125.0,Hacker Group,Weak Passwords,AI-based Detection,37.0
